2019-06-06 01:23:59.239 ERROR 5964 --- [main] o.s.b.c.l.LoggingApplicationListener     : Cannot set level 'TARCE' for 'null'
2019-06-06 01:27:02.308  WARN 27556 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'roleMapper' and 'com.example.mpdemo.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:27:02.323  WARN 27556 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userMapper' and 'com.example.mpdemo.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:27:02.323  WARN 27556 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userRoleMapper' and 'com.example.mpdemo.mapper.UserRoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:27:02.323  WARN 27556 --- [main] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.example.mpdemo.mapper]' package. Please check your configuration.
2019-06-06 01:27:03.598  INFO 27556 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Starting...
2019-06-06 01:27:03.785  INFO 27556 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Start completed.
2019-06-06 01:27:05.098  INFO 27556 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-06-06 01:27:05.504  INFO 27556 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Started TestUserMapper in 5.594 seconds (JVM running for 6.776)
2019-06-06 01:27:05.847  INFO 27556 --- [main] c.example.mpdemo.mapper.TestUserMapper   : UserVO(userId=3, userName=123, password=bbh, phone=phone3, modifyTime=Mon Sep 03 08:00:00 CST 2018, createTime=null, role=[Role(id=2, name=中书省, createTime=null, updateTime=null), Role(id=4, name=尚书省, createTime=null, updateTime=null)])
2019-06-06 01:27:05.863  INFO 27556 --- [Thread-2] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-06-06 01:27:05.863  INFO 27556 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : primaryData - Shutdown initiated...
2019-06-06 01:27:05.879  INFO 27556 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : primaryData - Shutdown completed.
2019-06-06 01:28:13.847  INFO 25728 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Starting TestUserMapper on honer with PID 25728 (started by fung in F:\workSpace\IDEA_workspace\mpdemo)
2019-06-06 01:28:13.847 DEBUG 25728 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-06-06 01:28:13.847  INFO 25728 --- [main] c.example.mpdemo.mapper.TestUserMapper   : The following profiles are active: dev
2019-06-06 01:28:15.222  WARN 25728 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'cityMapper' and 'com.example.mpdemo.mapper.CityMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:28:15.222  WARN 25728 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'roleMapper' and 'com.example.mpdemo.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:28:15.222  WARN 25728 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userMapper' and 'com.example.mpdemo.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:28:15.222  WARN 25728 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userRoleMapper' and 'com.example.mpdemo.mapper.UserRoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:28:15.238  WARN 25728 --- [main] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.example.mpdemo.mapper]' package. Please check your configuration.
